FileName,Extension,Technology,Status,isBinary,Bytes,ContentType,ContentLines,CommentLines,BlankLines
/project/target/streams/_global/updateClassifiers/_global/streams/update_cache_2.12/inputs,,Other,OK,UNKNOWN,11,Other,1,0,0
/project/target/streams/_global/updateClassifiers/_global/streams/update_cache_2.12/output,,Other,OK,UNKNOWN,317033,Other,1,0,0
/project/target/streams/_global/dependencyPositions/_global/streams/update_cache_2.12/output_dsp,,Other,OK,UNKNOWN,1028,Other,1,0,0
/project/target/streams/_global/dependencyPositions/_global/streams/update_cache_2.12/input_dsp,,Other,OK,UNKNOWN,9,Other,1,0,0
/project/target/streams/_global/ivySbt/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/_global/updateSbtClassifiers/_global/streams/out,,Other,OK,UNKNOWN,58,Other,2,0,0
/project/target/streams/_global/csrConfiguration/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/_global/update/_global/streams/out,,Other,OK,UNKNOWN,323,Other,3,0,0
/project/target/streams/_global/_global/csrLogger/_global/streams/out,,Other,OK,UNKNOWN,8465,Other,68,0,0
/project/target/streams/_global/_global/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/_global/ivyConfiguration/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/_global/projectDescriptors/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/_global/scalaCompilerBridgeScope/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/_global/csrProject/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/_global/moduleSettings/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/compile/compileIncremental/_global/streams/export,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/compile/compileIncremental/_global/streams/out,,Other,OK,UNKNOWN,397,Other,6,0,0
/project/target/streams/compile/copyResources/_global/streams/out,,Other,OK,UNKNOWN,43,Other,2,0,0
/project/target/streams/compile/internalDependencyClasspath/_global/streams/export,,Other,OK,UNKNOWN,1,Other,0,0,1
/project/target/streams/compile/internalDependencyClasspath/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/compile/unmanagedJars/_global/streams/export,,Other,OK,UNKNOWN,1,Other,0,0,1
/project/target/streams/compile/exportedProducts/_global/streams/export,,Other,OK,UNKNOWN,95,Other,1,0,0
/project/target/streams/compile/externalDependencyClasspath/_global/streams/export,,Other,OK,UNKNOWN,10794,Other,1,0,0
/project/target/streams/compile/managedClasspath/_global/streams/export,,Other,OK,UNKNOWN,10794,Other,1,0,0
/project/target/streams/compile/dependencyClasspath/_global/streams/export,,Other,OK,UNKNOWN,10794,Other,1,0,0
/project/target/streams/compile/unmanagedClasspath/_global/streams/export,,Other,OK,UNKNOWN,1,Other,0,0,1
/project/target/streams/compile/unmanagedClasspath/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/compile/_global/_global/discoveredMainClasses/data,,Other,OK,UNKNOWN,2,Other,1,0,0
/project/target/streams/compile/_global/_global/compileOutputs/previous,,Other,OK,UNKNOWN,171,Other,1,0,0
/project/target/streams/compile/compile/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/compile/bloopPostGenerate/_global/streams/out,,Other,OK,UNKNOWN,56,Other,1,0,0
/project/target/streams/compile/incOptions/_global/streams/out,,Other,OK,UNKNOWN,334,Other,2,0,0
/project/target/streams/compile/bloopGenerate/_global/streams/out,,Other,OK,UNKNOWN,366,Other,4,0,0
/project/target/streams/compile/scalacOptions/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/compile/bspReporter/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/test/bloopPostGenerate/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/test/bloopGenerate/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/runtime/fullClasspath/_global/streams/export,,Other,OK,UNKNOWN,687,Other,1,0,0
/project/target/streams/runtime/internalDependencyClasspath/_global/streams/export,,Other,OK,UNKNOWN,95,Other,1,0,0
/project/target/streams/runtime/internalDependencyClasspath/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/streams/runtime/unmanagedJars/_global/streams/export,,Other,OK,UNKNOWN,1,Other,0,0,1
/project/target/streams/runtime/exportedProducts/_global/streams/export,,Other,OK,UNKNOWN,95,Other,1,0,0
/project/target/streams/runtime/externalDependencyClasspath/_global/streams/export,,Other,OK,UNKNOWN,592,Other,1,0,0
/project/target/streams/runtime/managedClasspath/_global/streams/export,,Other,OK,UNKNOWN,592,Other,1,0,0
/project/target/streams/runtime/dependencyClasspath/_global/streams/export,,Other,OK,UNKNOWN,687,Other,1,0,0
/project/target/streams/runtime/unmanagedClasspath/_global/streams/export,,Other,OK,UNKNOWN,1,Other,0,0,1
/project/target/streams/runtime/unmanagedClasspath/_global/streams/out,,Other,OK,UNKNOWN,0,Other,0,0,0
/project/target/scala-2.12/sbt-1.0/update/update_cache_2.12/inputs,,Other,OK,UNKNOWN,9,Other,1,0,0
/project/target/scala-2.12/sbt-1.0/update/update_cache_2.12/output,,Other,OK,UNKNOWN,303001,Other,1,0,0
/project/target/scala-2.12/sbt-1.0/sync/copy-resource,,Other,OK,UNKNOWN,12,Other,1,0,0
/project/target/config-classes/$7338c38e40ba91536dbf.cache,cache,Other,OK,UNKNOWN,21,Other,1,0,0
